App name,Version number,debloating feature,icons,pictures,transition gif,Total TextViews,Total Buttons,Transition Frames (Activity - Activity),Transition Frames (Touch to Action),App Genres,Local Image Size [KB],resolution,API call,Database call,,,
MovieGuide,v4-a,original,4,5,0,9,0,,,information,32.05; 41.78; 12.89; 33.51,342x513; 342x513; 342x513; 342x513,4,0,,,
MovieGuide,v4-b,Movie Grid Display Reduction 20x20,4,5,0,9,0,,,information,32.05; 41.78; 12.89; 33.51,20x20; 20x20; 20x20; 20x20,4,0,,,
MovieGuide,v5-a,original,4,5,0,9,0,,,information,32.05; 41.78; 12.89; 33.51,342x513; 342x513; 342x513; 342x513,4,0,,,
MovieGuide,v5-b,Movie Grid Display Reduction 50x50,4,5,0,9,0,,,information,32.05; 41.78; 12.89; 33.51,50x50; 50x50; 50x50; 50x50,4,0,,,
MovieGuide,v6-a,original,4,5,0,9,0,,,information,32.05; 41.78; 12.89; 33.51,342x513; 342x513; 342x513; 342x513,4,0,,,
MovieGuide,v6-b,Movie Grid Display Reduction 100x100,4,5,0,9,0,,,information,32.05; 41.78; 12.89; 33.51,100x100; 100x100; 100x100; 100x100,4,0,,,
OpenFoodFacts,v1-a,original,3,1,0,2,0,,,information,44.7,356x240,0,1,,,
OpenFoodFacts,v1-b,lower res picture - mainactivity,3,1,0,2,0,,,information,5.76,356x240,0,1,,,
OpenFoodFacts,v2-a,original,3,1,0,2,0,,,information,44.7,356x240,0,1,,,
OpenFoodFacts,v2-b,remove picture - mainactivity,3,0,0,2,0,,,information,0,0x0,0,0,,,
OpenFoodFacts,v3-a,original,15,5,5,22,8,,,information,,60x60,7,0,,,
OpenFoodFacts,v3-b,removed thumbnail - category,15,0,0,22,8,,,information,,0x0,2,0,,,
Plate,v1-a,original,7,7,0,8,0,,,social,,800x600;800x600;800x600;800x600;800x600;800x600;800x600,0,0,,,Note: the plate image size is estimated; because the app is syncing with internet and got different pictures for this time
Plate,v1-b,no pictures,7,0,0,8,0,,,social,,800x600;800x600;800x600;800x600;800x600;800x600;800x600,0,0,,,
RedReader,v1-a,original,14,9,1,75,12,,,social,,,,,,,
RedReader,v1-b,Thumbnails Removed,14,1,1,75,12,,,social,,,,,,,
RedReader,v2-a,original,14,9,1,75,12,,,social,,,,,,,
RedReader,v2-b,Thumbnail API Call Removed,14,1,1,75,12,,,social,,,,,,,
Skytube,v1-a,original,10,4,0,21,4,,,multimedia,8.81; 29.85,480x360; 480x360,2,0,,,
Skytube,v1-b,YouTube Video Thumbnail Removal,10,0,0,21,4,,,multimedia,8.81; 29.85,0x0; 0x0,2,0,,,
Skytube,v2-a,original,8,6,1,26,8,,,multimedia,3.79,88x88,3,0,,,
Skytube,v2-b,Youtube Channel Icon Removal,8,5,1,25,8,,,multimedia,3.79,0x0,2,0,,,
Skytube,v3-a,original,10,2,1,17,2,,,multimedia,8.81; 29.85,480x360; 480x360,2,0,,,
Skytube,v3-b,Youtube Video Thumbnail Reduction 100x100,10,2,1,17,2,,,multimedia,8.81; 29.85,100x100; 100x100,2,0,,,
Skytube,v4-a,original,10,2,1,17,2,,,multimedia,8.81; 29.85,480x360; 480x360,2,0,,,
Skytube,v4-b,Youtube Video Thumbnail Reduction 50x50,10,2,1,17,2,,,multimedia,8.81; 29.85,50x50; 50x50,2,0,,,
Skytube,v5-a,original,10,2,1,17,2,,,multimedia,8.81; 29.85,480x360; 480x360,2,0,,,
Skytube,v5-b,Youtube Video Thumbnail Reduction 20x20,10,2,1,17,2,,,multimedia,8.81; 29.85,20x20; 20x20,2,0,,,
Travel-mate,v1-a,original,11,0,3,10,7,,,information,0,500x500,2,0,,,
